Local time,Open,High,Low,Close,Volume
03.01.2024 20:30:00.000 GMT+0330,37469.699,37558.699,37440.609,37553.619,1.1319
03.01.2024 21:30:00.000 GMT+0330,37552.619,37591.679,37539.119,37542.659,1.1527
03.01.2024 22:30:00.000 GMT+0330,37543.619,37617.149,37466.599,37559.659,2.2654
03.01.2024 23:30:00.000 GMT+0330,37558.699,37558.699,37398.689,37433.669,1.6642
04.01.2024 00:30:00.000 GMT+0330,37433.149,37443.619,37414.129,37424.899,0.2085
04.01.2024 01:30:00.000 GMT+0330,37424.899,37424.899,37424.899,37424.899,0
04.01.2024 02:30:00.000 GMT+0330,37468.619,37485.689,37447.899,37460.179,0.0346
04.01.2024 03:30:00.000 GMT+0330,37459.179,37478.189,37440.199,37475.639,0.0629
04.01.2024 04:30:00.000 GMT+0330,37476.139,37483.179,37465.099,37476.899,0.069
04.01.2024 05:30:00.000 GMT+0330,37477.159,37480.129,37456.609,37472.179,0.0538
04.01.2024 06:30:00.000 GMT+0330,37472.659,37482.639,37459.899,37463.199,0.0475
04.01.2024 07:30:00.000 GMT+0330,37464.139,37473.609,37459.109,37459.649,0.0325
04.01.2024 08:30:00.000 GMT+0330,37460.149,37462.189,37442.629,37447.109,0.0456
04.01.2024 09:30:00.000 GMT+0330,37446.659,37478.109,37446.659,37476.109,0.0504
04.01.2024 10:30:00.000 GMT+0330,37476.619,37489.899,37465.399,37472.139,0.0537
04.01.2024 11:30:00.000 GMT+0330,37473.599,37515.909,37468.699,37479.409,0.127
04.01.2024 12:30:00.000 GMT+0330,37478.939,37488.409,37453.399,37485.419,0.0983
04.01.2024 13:30:00.000 GMT+0330,37486.199,37498.919,37454.699,37486.459,0.0774
04.01.2024 14:30:00.000 GMT+0330,37485.969,37512.959,37454.949,37472.959,0.0798
04.01.2024 15:30:00.000 GMT+0330,37473.489,37543.199,37464.979,37525.199,0.5876
04.01.2024 16:30:00.000 GMT+0330,37523.909,37538.939,37497.969,37517.469,0.7209
04.01.2024 17:30:00.000 GMT+0330,37515.909,37566.639,37456.199,37558.899,1.5858
04.01.2024 18:30:00.000 GMT+0330,37556.699,37643.619,37550.189,37625.659,1.6421
04.01.2024 19:30:00.000 GMT+0330,37627.689,37721.779,37617.899,37635.729,1.4116
04.01.2024 20:30:00.000 GMT+0330,37635.299,37638.799,37503.259,37537.709,1.3788
04.01.2024 21:30:00.000 GMT+0330,37537.767,37572.799,37529.209,37548.789,1.1896
04.01.2024 22:30:00.000 GMT+0330,37548.299,37573.789,37505.759,37549.789,1.3282
04.01.2024 23:30:00.000 GMT+0330,37550.279,37562.279,37436.709,37458.779,1.5191
05.01.2024 00:30:00.000 GMT+0330,37459.219,37493.999,37444.219,37462.779,0.1536
05.01.2024 01:30:00.000 GMT+0330,37462.779,37462.779,37462.779,37462.779,0
05.01.2024 02:30:00.000 GMT+0330,37492.269,37519.299,37492.269,37498.699,0.0378
05.01.2024 03:30:00.000 GMT+0330,37499.289,37510.259,37490.209,37499.269,0.0584
05.01.2024 04:30:00.000 GMT+0330,37500.259,37511.499,37489.999,37505.999,0.0657
05.01.2024 05:30:00.000 GMT+0330,37505.239,37505.239,37482.759,37485.239,0.0488
05.01.2024 06:30:00.000 GMT+0330,37485.719,37494.229,37479.209,37480.259,0.0357
05.01.2024 07:30:00.000 GMT+0330,37479.759,37495.769,37472.269,37477.779,0.0371
05.01.2024 08:30:00.000 GMT+0330,37478.209,37480.299,37466.229,37468.279,0.0522
05.01.2024 09:30:00.000 GMT+0330,37468.247,37478.299,37417.269,37436.299,0.0714
05.01.2024 10:30:00.000 GMT+0330,37436.739,37461.239,37416.269,37427.799,0.0592
05.01.2024 11:30:00.000 GMT+0330,37427.747,37453.599,37417.089,37423.499,0.1142
05.01.2024 12:30:00.000 GMT+0330,37423.797,37424.799,37362.559,37368.009,0.0949
05.01.2024 13:30:00.000 GMT+0330,37367.509,37386.069,37345.529,37381.999,0.0842
05.01.2024 14:30:00.000 GMT+0330,37383.059,37392.589,37329.499,37368.049,0.076
05.01.2024 15:30:00.000 GMT+0330,37369.299,37393.099,37346.089,37358.599,0.4735
05.01.2024 16:30:00.000 GMT+0330,37358.079,37408.509,37245.089,37381.549,1.2362
05.01.2024 17:30:00.000 GMT+0330,37382.049,37485.739,37374.799,37455.699,1.7599
05.01.2024 18:30:00.000 GMT+0330,37455.737,37624.799,37455.737,37556.209,2.2272
05.01.2024 19:30:00.000 GMT+0330,37556.709,37579.999,37443.219,37444.729,1.4704
05.01.2024 20:30:00.000 GMT+0330,37445.209,37448.209,37330.209,37361.279,1.645
05.01.2024 21:30:00.000 GMT+0330,37359.289,37500.289,37314.239,37473.719,1.6124
05.01.2024 22:30:00.000 GMT+0330,37474.199,37522.779,37373.699,37384.739,1.6538
05.01.2024 23:30:00.000 GMT+0330,37382.789,37500.269,37369.729,37462.279,1.5381
06.01.2024 00:30:00.000 GMT+0330,37464.219,37479.249,37460.239,37468.799,0.1366
06.01.2024 01:30:00.000 GMT+0330,37468.799,37468.799,37468.799,37468.799,0
